# VITESS 3.7  Trajectories module EventsOut 1.15  VITESS-Format
# 2026-04-09 15:06:53  
# VITESS simulation   
#    TOF    lambda   count_rate    pos_x     pos_y    pos_z     dir_x     dir_y     dir_z  
  22.84953  2.26525   1.480e-12     0.1189  -0.3866   0.2939   0.771320 -0.632764 -0.068375
  28.15549  2.79166   4.325e-13    -0.2282  -0.4034   0.1877  -0.744071 -0.183035 -0.642540
  33.41581  3.31319   2.823e-13    -0.2469  -0.4332  -0.0371  -0.725423 -0.576046 -0.376740
  43.36338  4.29933   8.798e-14    -0.3463   0.0346   0.3590  -0.539216 -0.495460  0.681003
  41.55958  4.12054   6.100e-14     0.3320  -0.3586  -0.1057   0.662058 -0.739696  0.120533
  24.83567  2.46198   9.418e-13     0.3526   0.2336   0.2667   0.889931  0.112991  0.441877
  31.12708  3.08633   1.561e-13     0.1258   0.4287  -0.2245   0.993633  0.005670  0.112524
  44.54696  4.41686   4.530e-14     0.2901   0.4071   0.0103   0.913526  0.302849 -0.271574
  12.95588  1.28445   8.419e-12     0.1979  -0.4380   0.1378  -0.434039 -0.807831  0.398772
  13.45583  1.33411   5.539e-12    -0.0537  -0.4860   0.1047  -0.938388 -0.175418  0.297751
  26.25792  2.60363   6.616e-13    -0.0385  -0.0294  -0.4976  -0.595470 -0.070878 -0.800245
  14.36068  1.42378   7.383e-12     0.1741  -0.4665  -0.0460   0.350814 -0.905935  0.237088
  30.59637  3.03363   5.578e-13    -0.3067   0.0102  -0.3948  -0.942414 -0.134020 -0.306421
  24.00718  2.38011   8.476e-13    -0.3918   0.2319  -0.2067  -0.990657  0.087188  0.104864
  39.35659  3.90204   8.713e-14    -0.3968   0.2540   0.1674  -0.761126  0.642081 -0.091760
  18.99369  1.88304   2.801e-12    -0.1135   0.3160   0.3705  -0.721379  0.418787  0.551571
  40.49899  4.01526   5.653e-14     0.2546  -0.0609  -0.4260   0.102530 -0.822453 -0.559517
